profitable:JJ	লাভজনক
contract:NN	চুক্তি
voyage:NN	সমুদ্রযাত্রা
satiety:NN	পরিতৃপ্তি
humorist:NN	রসিক
salty:JJ	নোনতা
firefly:NN	জোনাকি
mourn:VV	শোকপালন করা
purposes:NNS	উদ্দ্যেশ্য
owners:NNS	স্বত্তাধীকারী
position:VVP	জায়গা নেওয়া
infatuation:NN	মোহ
rich:NN	ধনী
ostentation:NN	জাঁকজমক
soil:VV	ময়লা করা
lower:RBR	নিম্নতর
registrar:NN	রেজিস্ট্রার
fancy:JJ	অভিনব
banned:JJ	নিষিদ্ধ
carried:VVD	বহন করা
Masum:NN	মাসুম
remand:NN	জিজ্ঞাসাবাদের জন্য হাজতে রাখা
dewan:NP	দেওয়ান
non-controversial:JJ	অবিতর্কিত
housekeeping:NN	গৃহপরিচর্যা
featured.article:NN	নির্বাচিত নিবন্ধ
arrested:JJ	আটককৃত
non-existent:JJ	অবিদ্যমান
bail:NN	জামিন
featured:JJ	নির্বাচিত
optimistic:JJ	আশাবাদী
learned:JJ	বিজ্ঞ
outface:VV	সামনা সামনি হওয়া
memo:NN	রসিদ
memo:NN	মেমো
outface:VV	মুখোমুখি হওয়া
different:JJ	বিভিন্ন
non-commercial:JJ	অ-বানিজ্যিক
non-free:NN	মুক্ত নয় এমন
cost:NN	মূল্য
redistribute:VV	পুনর্বিতরণ করা
goal:NN	উদ্দেশ্য
non-commercial.use:NN	অ-বানিজ্যিক ব্যবহার
free.content:NN	মুক্ত উপাদান
article:NN	নিবন্ধ
jellyfish:NN	জেলিফিশ
bury:VV	সমাহিত করা
capital:NN	রাজধানী
bangladesh.government:NP	বাংলাদেশ সরকার
art.division:NP	কলা বিভাগ
flag:NN	পতাকা
central.mosque:NN	কেন্দ্রীয় মসজিদ
travel:NN	ভ্রমণ করা
fairy:NN	পরী
kit:NN	কিট
promotional.photo:NN	প্রচার-উৎসাহবর্ধক ফোটো
photo:NN	ফোটো
historically:RB	ঐতিহাসিকভাবে
promotional.source:NN	প্রচার-উৎসাহবর্ধক  উৎস
promotional:JJ	প্রচার-উৎসাহবর্ধক
press:NN	প্রেস
understanding:NN	বোঝাপড়া
fairy.tale:NN	পরীর গল্প
tale:NN	গল্প
prince:NN	রাজ পুত্র
ogre:NN	রাক্ষস
essay:NN	রচনা
cover:NN	প্রচ্ছদ
music:NN	গান
vase:NN	ফুলদানি
maker:NN	প্রস্তুত কারক
horlicks:NP	হরিলক্স
laptops:NNS	ল্যাপটপ
jackal:NN	শিয়াল
presentation:NN	উপহার
leisure:NN	অবকাশ
shot:NN	গুলি করা
felicitous:JJ	সমৃদ্ধ
such:JJ	এরকম
washable:JJ	ধোওয়া যায় এমন
disappointed:JJ	হতাশ
intentionally:RB	ইচ্ছাকৃত
sustain:VV	সহ্য করা
rough.condition:NN	প্রতিকূল পরিস্থিতি
influenza:NN	ইনফ্লুয়েঞ্জা
flu:NN	ফ্লু
influenzavirus:NP	ইনফ্লুয়েঞ্জা ভাইরাস
swine.flu:NN	সোয়াইন ফ্লু
adaptable:JJ	পরিবর্তন যোগ্য
finding:NN	প্রাপ্তি
abreast:RB	পাশাপাশি
absurdity:NN	অসংগতি
helpful:JJ	সহায়ক
wikimedia.commons:NP	উইকিমিডিয়া কমন্স
soluble:JJ	দ্রবণীয়
effective.article:NN	উৎকৃষ্ট নিবন্ধ
layout:NN	বিন্যাস
precise:JJ	যথাযত
chieftain:NN	দলনেতা
style:NN	রচনাশৈলী
sterility:NN	বন্ধ্য
sterile:JJ	নিঃসন্তান
sterile:JJ	বাঁঝা
linkup:NN	সংযোগ
respectable:NN	সম্মানীয়
muslim.family:NN	মুসলিম পরিবার
fusion:NN	জোড়া লাগানো 
proposed:JJ	প্রস্তাবিত
review:NN	পর্যালোচনা
subversive:JJ	ক্ষতিকর
edits:NNS	সম্পাদনা
further.edits:NNS	আরও সম্পাদনা
stagger:VV	টলিতে  টলিতে চলা
nationality:NN	জাতীয়তা
kotwali.police.station:NP	কোতয়ালী থানা
kotwali:NN	কোতয়ালী
officer-in-charge:NP	ভারপ্রাপ্ত কর্মকর্তা
assume:VV	মেনে নেওয়া
blowing:NN	প্রবাহিত
report:VV	অভিযোগ করা
hydrology:NN	জলবিদ্যা
prevailing:NN	বিরাজমান
monsoons:NNS	মৌসুমি বায়ু
geological.evolution:NN	ভূতাত্ত্বিক বিবর্তন
fossil:NN	জীবাশ্ম
adroitness:NN	দক্ষতা
play:NN	খেলা
alert:NN	সতর্ক
deformed:JJ	বিকৃত
geologic:JJ	ভূতাত্ত্বিক
geologic.periods:NN	ভূতাত্ত্বিক পর্ব
deposit:VV	জমা হওয়া
deposits:NNS	জমা
transmute:VV	রূপান্তরিত হওয়া
mineral:NN	খনিজ পদার্থ
supper:NN	রাতের খাবার
bar.chart:NN	কলাম লেখচিত্র
judges:NNS	বিচারপতি
political.office:NN	রাজনৈতিক দপ্তর
sub-national:JJ	উপ-জাতীয়
first-level:JJ	প্রথম স্তর
office:NN	দপ্তর
political.figures:NNS	রাজনৈতিক ব্যক্তিত্ব
speaking:NN	বলা হয়
citywide:JJ	শহর ব্যাপি
confer:VV	খেতাব প্রদান করা
spouse:NN	স্বামী বা স্ত্রী
uncontroversial.deletion:NN	অবিতর্কিত অপসারণ
md.:NN	মোঃ
humble:JJ	বিনীত
day:NP	দিন
wank:VV	হস্ত মৈথুন
verandah:NN	বারান্দা
mahinee:NP	মাহিনী
mahinee.bazar:NP	মাহিনী বাজার
nangalkoat:NP	নাঙ্গলকোট
comilla:NP	কুমিল্লা
mendis:NP	মেন্ডিস
emotional:JJ	আবেগতাড়িত
post-office:NP	ডাকঘর
administrator:NN	প্রশাসক
intellectually:RB	বুদ্ধিমত
borrow:VV	ধার করা
patients:NNS	রোগী
governess:NN	গৃহশিক্ষিকা
massive:JJ	বিরাট
lapsed:JJ	বাতিল
grinding:NN	চূর্ণ করা
target:NN	লক্ষ্য স্থির করা
worship:VV	উপাসনা করা
agents:NNS	দালাল
condom:NN	কন্ডোম
bhagavan:NP	ভগবান
krishnaism:NP	কৃষ্ণ ধর্ম
avatar:NN	অবতার
drive:VVP	চালনা করা
deity:NN	দেব
dream:VV	স্বপ্ন দেখা
altogether:RB	একবারে
earthly:JJ	সাংসারিক
attention:NN	মনোযোগ
attitude:NN	অঙ্গভঙ্গী
abundance:NN	যথেষ্ট
constrain:VV	বাধ্য করা
backyard:NN	উঠোন
advice:NN	উপদেশ
comfort:NN	আরাম
as:IN	যেহেতু
chicly:RB	সৌনাভ
concept:NN	ধারণা
punch:VVP	ঘুসি মারা
good:JJ	ভাল
puberty:NN	বয়ঃসন্ধি
concern:NN	সম্পর্কিত
cuff:NN	জামার আস্তিনের নিম্নাংশ
cuff:NN	চপেটাঘাত
obese:JJ	মোটা
garments:NNS	পোষাক
pupil:NN	ছাত্র
conflicts:NNS	দ্বন্দ
closer:RB	কাছাকাছি
HSDPA:NN	এইচএসডিপিএ
horseman:NN	অশ্বারোহী
pupil:NN	শিষ্য
landing:NN	অবতরন করা
acquiescence:NN	মৌনসম্মতি
mishap:NN	দুর্ঘটনা
open.university:NN	উন্মুক্ত বিশ্ববিদ্যালয়
open university:NN	উন্মুক্ত বিশ্ববিদ্যালয়
hellfire:NN	দোযখের আগুন
woe:NN	শোক
immune:JJ	অনাক্রম্য
procedures:NNS	পদ্ধতি
wedlock:NN	বিবাহ বন্ধন
visit:NN	সাক্ষাৎকার
how.to:NN	কিভাবে
immune.system:NN	অনাক্রম্য সিস্টেম
islam.khan.chisti:NP	ইসলাম খান চিশতী
driven:JJ	চালিত
recreation:NN	উপভোগ
HDD:NN	হার্ডডিস্ক
later.period:NN	পরবর্তী সময়
alauddin.isfahan:NP	আলাউদ্দিন ইসফাহান
islam.khan:NP	ইসলাম খান
kamarupa:NP	কামরূপ
alauddin:NP	আলাউদ্দিন
fleet:NN	নৌবহর
khwaja:NP	খাজা
later:JJ	পরে
chisti:NP	চিশতী
mirza:NP	মীর্জা
ihtimam.khan:NP	ইহতিমাম খান
professional:NN	পেশাজীবি
malik.ali:NP	মালিক আলি
atheist:NN	নাস্তিক
suitability:NN	উপযোগিতা
khwaja.usman:NP	খাজা ওসমান
battles:NNS	যুদ্ধ
mir.bahr:NP	মীর বাহর
events:NNS	ঘটনা
common.life:NN	সাধারণ জীবন
malik:NP	মালিক
mir:NP	মীর
mirza.nathan:NP	মীর্জা নাথান
acquit:VV	বেকসুর খালাস দেওয়া
conversely:RB	বিপরীতভাবে
mutual:JJ	পারস্পরিক
mutual.respect:NN	পারস্পরিক শ্রদ্ধা
samples:NNS	নমুনা
section:NN	অংশ
apart:RB	পৃথকভাবে
section:NN	ভাগ
argue:VV	তর্ক করা
argue:VV	বাদানুবাদ করা
argue:VV	যুক্তি দেখানো
deactivated:JJ	অচল
box:NN	বাক্স
other:NN	অন্যান্য
efficient:JJ	পারদর্শী
socialist:JJ	সমাজবাদী
house:NN	ঘর
guilty:NN	দোষী
house:NN	আবাস
drone:NN	পুরুষ মৌমাছি
credit:NN	
involve:VVP	জড়ানো
easychair:NN	আরামকেদারা
door:NN	দ্বার
dust:NN	ধুলো
door:NN	কপাট
door:NN	দুয়ার
paintbrush:NN	তুলি
dust:NN	ময়লা
while:NN	যখন
intertwine:VV	একত্রিত হওয়া
dust:NN	আবর্জনা
production:NN	নির্মান
explanations:NNS	ব্যাক্ষ্যা
back.pain:NN	পশ্চাতে ব্যাথা
back:JJ	পিছনে
brainwashing:NN	মগজধোলাই
substantiate:VV	প্রমাণ করা
substantiate:VV	সমর্থন করা
hungry:JJ	ক্ষুধার্ত
bilayet:NP	বিলায়েত
abate:VV	প্রকোপ হ্রাস করা
abatement:NN	কম করা
abatement:NN	হ্রাস
abatement:NN	কমতি
abattoir:NN	সাধারণের কসাইখানা
abbacy:NN	মঠের কর্তার পদ
abba:NN	পরম পিতা
a:DT	ইংরেজী বর্ণমালার আদ্যাক্ষর
abase:VV	হীনপদস্থ করা
abase:VV	অপমানিত করা
abandon:VV	পরিত্যাগ করা
abandon:VV	বর্জন করা
abashment:NN	অপ্রস্তুত ভাব
abaddon:NN	নরক
abash:RB	অপ্রস্তুত করা
abash:RB	লজ্জা দেওয়া
abbess:NN	মঠের কর্তী
abbe:NN	ফরাসী ধর্মযাজক বিশেষ
aback:RB	পশ্চাদ্দিকে
abandoned:VVN	পরিত্যক্ত
abandoned:VVN	দুশ্চরিত্র
abacus:JJ	বলফ্রেম
abacus:JJ	গননা শিক্ষার ফ্রেম বিশেষ
aardvark:NN	দক্ষিণ আফ্রিকার জন্তু বিশেষ
abatis:NN	বাহিরের দিকে প্রসারিত
abaft:NN	জাহাজের পিছনের অর্ধাংশ
abandonment:NN	বর্জন
abandonment:NN	পরিত্যাগ
abbey:NN	মঠ
ability:NN	সামর্থ্য
ability:NN	শক্তি
acknowledge:VVP	প্রাপ্তিস্বীকার করা
acknowledge:VVP	সত্যতা স্বীকার করা
advise:VV	পারামর্শ দেওয়া
advise:VV	নির্দেশ দেওয়া
abide:VV	মেনে চলা
abide:VV	প্রতিক্ষা করা
abide:VV	বাস করা
abrogation:NN	রহিত করা
abrogation:NN	রদ করণ
accelerator:NN	গতিবর্ধক
academy:NN	শিক্ষায়ন
academy:NN	তাত্ত্বিয় শিক্ষা প্রতিষ্ঠান
adrenal:JJ	মুত্র গ্রন্থি সম্বন্ধীয়
aggregate:JJ	একত্রে জড়ো করা
adjacency:NN	নৈকট্য
adjacency:NN	লাগোয়া ভাব
adduce:VV	উদ্বুদ্ধ করা
ago:RB	অতীতে
afraid:JJ	ভীত
abidance:NN	মানিয়া চলা
additional:JJ	বাড়তি
adjudicator:NN	নিষ্পত্তিকারক
advantage:NN	হসুবিধা
advantage:NN	সুযোগ
advocacy:NN	পক্ষ সমর্থন
african:JJ	আফ্রিকার অধিবাসী
agile:FW	চঞ্চল
acclamation:NN	হর্ষধ্বনি
acclamation:NN	প্রশংসাবাদ
admiration:NN	শ্রদ্ধা
admissible:JJ	গ্রহনীয়
aha:NN	ওহো
aha:NN	আহা
access:NN	প্রবেশ
access:NN	প্রবেশাধিকার
accused:VVN	অভিযুক্ত
afire:NN	জ্বলন্ত
accusative:JJ	কর্মকারক
advancement:NN	উন্নয়ন
advancement:NN	অগ্রেগমন
agonize:NN	অত্যাধিক যন্ত্রণা দেওয়া
ablution:NN	পূণ্যস্নান
ablution:NN	আচমন
ablution:NN	সাধারণ স্নান
administer:VV	শাসন করা
accomaniment:NN	আনুষঙ্গিক পদার্থ
accomaniment:NN	গীতির সাথে সংগত বাদ্য
accompany:VV	সহগমন করা
accompany:VV	সঙ্গে থাকা
acceptabillity:NN	গ্রহণ যোগ্যতা
acceptabillity:NN	মনোজ্ঞতা
affinity:NN	ঘনিষ্ট সম্পর্ক
addle:NN	পঁচা
addle:NN	ঘোলা পড়া
abiding:JJ	মানিয়া চলে এমন
abiding:JJ	স্থায়ী
ack-ack:JJ	বিমানবিধ্বংসী কামান
agnosticism:NN	অজ্ঞাবাদ
affracy:NN	তুমুল কলহ
abdicate:VVP	অধিকার ত্যাগ করা
abdicate:VVP	ক্ষমতা ত্যাগ করা
abdicate:VVP	পদত্যাগ করা
accrur:NN	স্বাভাবিক ভাবে উৎপন্ন হওয়া
affirmation:NN	শপথ করে চলা
act:NN	ভান করা
abduction:NN	অপহরণ
agate:NN	অতি কঠিন পাথর
agate:NN	মূল্যবান পাথর
abscess:NN	ফোড়া
abscess:NN	বিস্ফোটক
accept:VV	সম্মত হওয়া
accept:VV	স্বীকার করা
adjudge:VV	মীমাংসা করা
afore:RB	অগ্রে
abettor:NN	দুষ্কর্মে সাহয্যকারী
affectionate:NN	স্নেহশীল
acquiescence:NN	মৌন সম্মতি
aggression:NN	চড়াও হয়ে আক্রমণ
addendum:NN	অভিযোজ্য বস্তু
aerolite:NN	উল্কা পিন্ড
agnostic:NN	অঞ্জেয়বাদী
absurd:JJ	অসংগত
absurd:JJ	উদভট
absurd:JJ	হাস্যকর
acclaim:NN	উচ্চৈঃস্বরে প্রশংসা করা
absenteeism:NN	নিজ গৃহ হতে প্রায় বাহিরে থাকার স্বভাব
acerbity:NN	অম্লতা
acerbity:NN	রূঢ়তা
acerbity:NN	তিক্ততা
abstain:VV	মদ্যপান না করা
accustom:NN	অভ্যস্ত করা
ahead:RB	সম্মুখে
absconder:NN	ফেরারী আসামী
adjustable:JJ	নিয়ন্ত্রন যোগ্য
academician:NN	অ্যাকাডেমির সদস্য
acme:NN	সর্বোচ্চ সীমা
acme:NN	চুড়া
acme:NN	চরম উন্নতি
acclivity:NN	পাহাড়ের ক্রমোন্নত ভূমিভাগ
acclivity:NN	চড়াই
activity:NN	সক্রিয়তা
activity:NN	কর্মতৎপরতা
absent:JJ	গর হাজির
adit:NN	প্রবেশ পথ
adit:NN	সুড়ঙ্গ
acoustic:JJ	শ্রবণশক্তি সম্বন্ধীয়
acoustic:JJ	ধ্বনি সম্বন্ধীয়
acquainted:JJ	পরিচিত
acquainted:JJ	অবগত
acre:NN	৪৮৪০ বর্গগজ পরিমিত স্থান
action:NN	কার্য
action:NN	ক্রিয়াফল
abnegate:VV	ত্যাগ স্বীকার করা
accucheur:NN	যে পুরুষ প্রসবের কার্যে ধাত্রীকে সাহায্য করে
adamantine:NN	ইচ্ছা শক্তিতে শক্তিশালী
adamantine:NN	চরিত্রে অত্যন্ত শক্তিশালী
acting:VVG	কার্য সম্পাদান
adulterate:VV	অপমিশ্রণ করা
aberration:NN	সত্যপথ হতে স্খলন
abode:NN	বাসস্থান
abode:NN	আবাস
abode:NN	গৃহ
adrenalin:NN	প্রাণী দেহস্থরস বিশেষ
affectation:NN	ভন্ডামি
agony:NN	যন্ত্রনা
agony:NN	শারীরিক যন্ত্রনা
agony:NN	মানসিক যন্ত্রনা
adulteration:NN	অপমিশ্রণ করণ
advisable:JJ	যুক্তি সংগত
advisable:JJ	বিধেয়
advisable:JJ	গ্রাহ্য
afforest:NN	অরন্যে পরিনত করা
abstention:NN	নিবৃত্ত
abstention:NN	সংযম
abyss:NN	অতল গহ্বর
abyss:NN	সুগভীর হতাশা
abet:RB	অসৎ কার্যে সাহায্য করা
adamant:JJ	অত্যন্ত কঠিন বস্তু
adamant:JJ	জেদী
affidavit:NN	হলফনামা
agriculturist:NN	কৃষি বিদ্যায় নিপুন ব্যক্তি
actuate:VV	কার্যে প্রবিত্ত করা
actuate:VV	প্রণোদিত করা
abdication:NN	পরিত্যাগ
aggradize:NN	ক্ষমতা বৃদ্ধি করা
aggradize:NN	সম্পদ বৃদ্ধি করা
abutment:NN	সেতুর পিল পা
adonish:JJ	সুন্দর যুবক
adonish:JJ	ফোতো বাবু
advalorem:NN	মূল্যায়নুপাতে
adroit:JJ	নিপুন
adroit:JJ	দক্ষ
addle-brained:JJ	নিবোর্ধ
